,word_root,polarity
719,누그럽거,1.5
3733,누락,-3
3806,누룩,1.5
720,누르,-1.5
721,누리,1.5
722,눈곱,-1.5
723,눈꼴,-3
724,눈꼴사납,-3
725,눈뜨,-1.5
726,눈매,1.5
727,눈물,-1.5
728,눈물겹,-3
729,눈빛,1.5
730,눈알,-3
731,눈앞,1.5
732,눈치,1.5
733,눌르,-3
734,눌리,-1.5
735,뉘우치,1.5
736,뉘우침,0
737,느개,-3
738,느글거리,-3
739,느글대,-3
740,느금,-3
741,느끼,1.5
742,느낌,1.5
3835,느렸,-1.5
743,느리,-1.5
3732,느린,-1.5
744,느릿느릿,-1.5
745,느물거리,-1.5
746,느즈러지,-1.5
747,늘씬,1.5
748,늘어나,-1.5
749,늙은이,-3
750,능글능글,-1.5
751,능글맞,1.5
752,능란,3
753,능력,1.5
754,능률,3
755,능수능란,3
756,능숙,3
757,능청,-1.5
758,능통,3
759,능하,3
760,능히,3
761,늦어지,-1.5
3637,니미,-3
762,다그치,-1.5
763,다급,-1.5
765,다독,1.5
764,다독거리,1.5
766,다듬,-1.5
767,다랍,-1.5
768,다루,-3
769,다리,-1.5
770,다부지,-1.5
771,다소,-3
772,다시,1.5
773,다양,1.5
774,다정,3
775,다채,1.5
776,다치,-1.5
777,다투,-3
778,다툼,-3
779,다하,1.5
780,다행,1.5
781,닥쳐오,-1.5
782,닦달,-3
,단골,1.5
783,단념,-1.5
784,단단,1.5
785,단단히,1.5
786,단련,1.5
3700,단맛,1.5
787,단번에,-1.5
788,단아,3
789,단작,-1.5
790,단정,3
791,단출,3
792,달갑,-1.5
3687,달갑잖,-1.5
793,달달,1.5
794,달뜨,1.5
795,달래,1.5
796,달성,1.5
797,달아나,-1.5
798,달콤,1.5
799,담력,1.5
3709,담백,1.5
800,답답,-1.5
801,당차,-1.5
802,당찮,-1.5
803,당하,-3
3629,당혹,-1.5
804,당황,-1.5
805,대가,1.5
806,대강,-1.5
807,대강대강,-1.5
808,대견,1.5
809,대구,-1.5
810,대꾸,-1.5
811,대단,-1.5
812,대단히,3
813,대담,1.5
814,대들,-3
815,대립,-1.5
,대박,3
,대비,3
816,대상,1.5
817,대수롭,-1.5
818,대열,1.5
819,대접,1.5
820,대중,-1.5
821,대책,-1.5
822,대충,-1.5
823,대충대충,-1.5
824,대하,1.5
825,더듬,0
826,더디,-1.5
827,더러운,-3
828,더러움,-3
830,더러워지,-3
829,더럽,-3
831,더럽히,-3
832,더부룩,-3
833,더없이,1.5
834,더욱,1.5
835,더위,-1.5
836,더하,1.5
837,덕망,1.5
838,덕행,3
839,덜렁거리,-1.5
840,덤벼들,-3
841,덤비,-3
842,덧나,-1.5
843,덩이,-3
844,데면데면,-1.5
845,도덕적,3
846,도도,0
847,도둑,-1.5
849,도둑질,-3
848,도둑질하,-3
850,도리,1.5
851,도리어,-1.5
852,도망,-1.5
853,도박,-3
854,도살,-1.5
855,도와주,1.5
856,도외시,-1.5
857,도움,1.5
858,도의심,-1.5
859,도적질,-1.5
860,도중,-3
861,독감,-1.5
862,독보적,1.5
863,독사,-3
864,독살,-3
865,독차지,-3
866,독창적,3
867,독특,1.5
868,돋보이,1.5
869,돋우,1.5
870,돌머리,-1.5
871,돌보,-1.5
872,돌아보,-1.5
873,동경,3
874,동기,1.5
875,동의,1.5
876,동작,-3
877,동통,-1.5
878,되바라지,-3
879,되찾,1.5
880,되풀이,-1.5
881,됨됨이,3
882,두근거리,1.5
883,두드러지,3
885,두려움,-3
886,두려워,-3
887,두려워하,-3
884,두렵,-3
888,두창,-3
889,두텁,1.5
890,두통,-3
891,둔하,-1.5
892,둔한,-1.5
893,뒤끓,-3
894,뒤떨어지,-3
895,뒤바뀌,-1.5
896,뒤섞,-1.5
897,뒤섞이,-1.5
898,뒤숭숭,-1.5
899,뒤얽히,-1.5
900,뒤엉키,-1.5
901,뒤지,-1.5
902,뒤척거리,-1.5
903,뒤틀리,-3
3247,뒤풀이,1.5
904,뒷거래,-1.5
905,드높,1.5
906,드러나,3
907,드문드문,-1.5
908,드세,-1.5
909,든든,3
910,든든히,3
911,듣보,-1.5
912,들끓,-3
913,들뜨,-1.5
